"#","Reference","Value","Footprint","Qty","Description","Manufacturer PN","Distributor Link"
"1","BT1","Battery_Cell","MB-SW:Solder_Joint_1_2","1","Single-cell battery","",""
"2","BZ1","SMTB-0927-TW-R","MB-Buzzer:SMTB-0927-TW-R","1","SMTB-0927-TW-R","668-SMTB-0927-TW-RTR-ND","https://www.digikey.com/en/products/detail/pui-audio-inc/smtb-0927-tw-r/13165907"
"3","C1,C2,C6,C14,C17,C18","1uF","Capacitor_SMD:C_0603_1608Metric","6","Unpolarized capacitor","399-13217-2-ND","https://www.digikey.com/en/products/detail/kemet/C1210C105K8RACTU/2216484?s=N4IgjCBcpgLFoDGUBmBDANgZwKYBoQB7KAbRAHZYBWMKkAXQIAcAXKEAZRYCcBLAOwDmIAL4EwANgQhkkdNnxFSIAByxYEgAwNmbSJx4DhY8OWmz5uAsUhlYAJnuxaOkK3Zc%2BQ0eICcK33NUTCslWxBtehN7TVhA6Dc9EABVfl4WAHkUAFkcNCwAV24cEAIC9gBWgDFSkABbAXYIAjq0AA8mnxAAWggEixDFGzIAZl9AqIJu%2ByDIHgKh5TookREgA"
"4","C3","10nF","Capacitor_SMD:C_0603_1608Metric","1","Unpolarized capacitor","399-C0603C103K8RACTUTR-ND","https://www.digikey.com/en/products/detail/kemet/C0603C103K8RACTU/2199758"
"5","C4","4.7uF","Capacitor_SMD:C_0805_2012Metric","1","Unpolarized capacitor","399-C1210C475K8RACTUTR-ND","https://www.digikey.com/en/products/detail/kemet/C1210C475K8RACTU/2216925?s=N4IgjCBcpgLFoDGUBmBDANgZwKYBoQB7KAbRAHZYBWMKkAXQIAcAXKEAZRYCcBLAOwDmIAL4EwANgQhkkdNnxFSIAByxYEgAwNmbSJx4DhY8OWmz5uAsUhlYAJnuxaOkK3Zc%2BQ0eICcK33NUTCslWxBtehN7TVhA6Dc9EABVfl4WAHkUAFkcNCwAV24cEAIC9gBWgDFSkABbAXZYADozAjq0AA8m1p8QAFoIBIsQxRsyAGZfQKiCfvsgyB4CseU6KJERIA"
"6","C5,C8,C10,C12,C13,C15,C16,C19","100nf","Capacitor_SMD:C_0805_2012Metric","8","Unpolarized capacitor","399-C0805C104K8RACTUTR-ND","https://www.digikey.com/en/products/detail/kemet/C0805C104K8RACTU/2211745"
"7","C7,C9,C11","10uF","Capacitor_SMD:C_0805_2012Metric","3","Unpolarized capacitor","399-C1210C106K8RACTUTR-ND","https://www.digikey.com/en/products/detail/kemet/C1210C106K8RACTU/2216503"
"8","D1,D2,D3,D4","LED","MB-Opto:WE-0603-Mono-Chip-Advance","4","internal","732-150060RS75003TR-ND","https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/150060RS75003/16022171"
"9","D5,D6,D7,D8","LED","MB-Opto:WE-1204-Mono-Side","4","external","732-5024-2-ND","https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/155124GS73200/4490038"
"10","D9","D","MB-SOD:SOD-123-2","1","Diode","MMSD4148T1GOSTR-ND","https://www.digikey.com/en/products/detail/onsemi/mmsd4148t1g/919705"
"11","J1","USB4110GFA","MB-Conn:GCT_USB4110GFA","1","USB4110-GF-A","2073-USB4110-GF-A-2-ND","https://www.digikey.com/en/products/detail/gct/usb4110-gf-a/10384547"
"12","J4","Conn_01x04_Pin","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal","1","RIGHT ANGLE","S9016E-04-ND","https://www.digikey.com/en/products/detail/sullins-connector-solutions/GRPB041VWCN-RC/1786467"
"13","Q1","3904","Package_TO_SOT_SMD:SOT-323_SC-70","1","0.3A Ic, 20V Vce, NPN Transistor, For Muting and Switching, SOT-323","MMBT3904LT1GOSTR-ND","https://www.digikey.com/en/products/detail/onsemi/mmbt3904lt1g/919601"
"14","R1","4.12k","MB-Generic:R0603_medium","1","Resistor","311-4.12KHRTR-ND","https://www.digikey.com/en/products/detail/yageo/rc0603fr-074k12l/727204"
